Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-06-05,4901.69,4914.91,4850.55,4857.87,4835743
2017-06-06,4848.4,4882.48,4838.72,4881.3,5195371
2017-06-07,4879.07,4894.11,4852.36,4865.59,4889342
2017-06-08,4865.81,4873.66,4851.48,4868.48,4278629
2017-06-09,4876.24,4894.76,4862.11,4875.06,6319371
2017-06-12,4859.84,4864.78,4807.01,4822.67,5245357
2017-06-13,4820.39,4834.08,4811.35,4830.9,4204046
2017-06-14,4834.23,4840.24,4811.8,4826.65,10730983
2017-06-16,4811.99,4839.52,4799.16,4799.16,7562974
2017-06-19,4810.58,4838.55,4810.58,4829.26,7559110
2017-06-20,4836.06,4854.26,4834.78,4854.26,5504288
2017-06-21,4852.8,4871.69,4824.46,4869.35,7425690
2017-06-22,4863.88,4882.68,4857.97,4869.35,7831022
2017-06-23,4880.77,4898.91,4877.94,4888.14,3542709
2017-06-26,4906.55,4937.35,4900.05,4930.37,9398926
2017-06-27,4934.48,4964.34,4920.79,4957.25,15318425
2017-06-28,4922.34,4926.75,4891.6,4891.8,7577633
2017-06-29,4903.68,4913.81,4875.56,4903.45,6409355
2017-06-30,4896.13,4907.43,4877.02,4907.43,6745024
2017-07-03,4909.66,4910.26,4883.39,4895.84,3686680
2017-07-04,4881.75,4883.48,4841.28,4841.28,5138227
2017-07-05,4846.66,4854.97,4809.33,4838.1,4167856
2017-07-06,4836.36,4848.67,4828.06,4848.67,3049862
2017-07-07,4847.96,4853.42,4820.93,4820.93,3026269
2017-07-10,4826.53,4845.26,4819.97,4833.32,3828651
2017-07-11,4848.82,4849.47,4814.22,4819.57,3569642
2017-07-12,4830.99,4863.92,4830.45,4863.92,5834039
2017-07-13,4867.23,4892.56,4859.35,4885.23,9551423
2017-07-14,4895.9,4917.29,4888.91,4917.29,5830642
2017-07-17,4918.29,4945.32,4918.11,4935.93,5791870
2017-07-18,4934.68,4938.47,4908.42,4916.3,6635683
2017-07-19,4919.26,4920.52,4883.64,4903.11,7159640
2017-07-20,4911.93,4935.76,4893.03,4904.81,5912056
2017-07-21,4896.76,4917.4,4893.6,4898.31,4300285
2017-07-24,4904.9,4907.89,4886.17,4901.13,4718418
2017-07-25,4909.73,4916.47,4898.63,4912.74,5384591
2017-07-26,4927.39,4932.21,4920.23,4930.59,5929749
2017-07-27,4931.05,4939.96,4917.57,4924.95,12109272
2017-07-28,4925.76,4932.86,4902.63,4932.49,13176535
2017-07-31,4931.12,4943.06,4916.99,4930.77,7980064
2017-08-01,4939.67,4942.95,4923.52,4931.23,9522361
2017-08-02,4949.13,4953.73,4920.75,4928,15254019
